Date,Open,High,Low,Close*,Adj Close**,Volume
7-Sep-23,245.07,252.81,243.27,251.49,251.49,"115,312,900"
6-Sep-23,255.14,255.39,245.06,251.92,251.92,"116,959,800"
5-Sep-23,245,258,244.86,256.49,256.49,"129,469,600"
1-Sep-23,257.26,259.08,242.01,245.01,245.01,"132,272,500"
31-Aug-23,255.98,261.18,255.05,258.08,258.08,"108,861,700"
30-Aug-23,254.2,260.51,250.59,256.9,256.9,"121,988,400"
29-Aug-23,238.58,257.48,237.77,257.18,257.18,"134,047,600"
28-Aug-23,242.58,244.38,235.35,238.82,238.82,"107,673,700"
25-Aug-23,231.31,239,230.35,238.59,238.59,"106,612,200"
24-Aug-23,238.66,238.92,228.18,230.04,230.04,"99,777,400"
23-Aug-23,229.34,238.98,229.29,236.86,236.86,"101,077,600"
22-Aug-23,240.25,240.82,229.55,233.19,233.19,"130,597,900"
21-Aug-23,221.55,232.13,220.58,231.28,231.28,"135,702,700"
18-Aug-23,214.12,217.58,212.36,215.49,215.49,"135,813,700"
17-Aug-23,226.06,226.74,218.83,219.22,219.22,"120,718,400"
16-Aug-23,228.02,233.97,225.38,225.6,225.6,"112,484,500"
15-Aug-23,238.73,240.5,232.61,232.96,232.96,"88,197,600"
14-Aug-23,235.7,240.66,233.75,239.76,239.76,"98,595,300"
11-Aug-23,241.77,243.79,238.02,242.65,242.65,"98,866,600"
10-Aug-23,245.4,251.8,243,245.34,245.34,"109,498,600"
9-Aug-23,250.87,251.1,241.9,242.19,242.19,"101,596,300"
8-Aug-23,247.45,250.92,245.01,249.7,249.7,"96,642,200"
7-Aug-23,251.45,253.65,242.76,251.45,251.45,"111,097,900"
4-Aug-23,260.97,264.77,253.11,253.86,253.86,"99,242,600"
3-Aug-23,252.04,260.49,252,259.32,259.32,"97,569,100"
2-Aug-23,255.57,259.52,250.49,254.11,254.11,"101,752,900"
1-Aug-23,266.26,266.47,260.25,261.07,261.07,"83,166,000"
31-Jul-23,267.48,269.08,263.78,267.43,267.43,"84,582,200"
28-Jul-23,259.86,267.25,258.23,266.44,266.44,"111,446,000"
27-Jul-23,268.31,269.13,255.3,255.71,255.71,"103,697,300"
26-Jul-23,263.25,268.04,261.75,264.35,264.35,"95,856,200"
25-Jul-23,272.38,272.9,265,265.28,265.28,"112,757,300"
24-Jul-23,255.85,269.85,254.12,269.06,269.06,"136,508,500"
21-Jul-23,268,268,255.8,260.02,260.02,"161,050,100"
20-Jul-23,279.56,280.93,261.2,262.9,262.9,"175,158,300"
19-Jul-23,296.04,299.29,289.52,291.26,291.26,"142,355,400"
18-Jul-23,290.15,295.26,286.01,293.34,293.34,"112,434,700"
17-Jul-23,286.63,292.23,283.57,290.38,290.38,"131,569,600"
14-Jul-23,277.01,285.3,276.31,281.38,281.38,"119,771,100"
13-Jul-23,274.59,279.45,270.6,277.9,277.9,"112,681,500"
12-Jul-23,276.33,276.52,271.46,271.99,271.99,"95,672,100"
11-Jul-23,268.65,270.9,266.37,269.79,269.79,"91,972,400"
10-Jul-23,276.47,277.52,265.1,269.61,269.61,"119,425,400"
7-Jul-23,278.43,280.78,273.77,274.43,274.43,"113,602,000"
6-Jul-23,278.09,279.97,272.88,276.54,276.54,"120,332,100"
5-Jul-23,278.82,283.85,277.6,282.48,282.48,"131,530,900"
3-Jul-23,276.49,284.25,275.11,279.82,279.82,"119,685,900"
30-Jun-23,260.6,264.45,259.89,261.77,261.77,"112,267,600"
29-Jun-23,258.03,260.74,253.61,257.5,257.5,"131,283,400"
28-Jun-23,249.7,259.88,248.89,256.24,256.24,"159,770,800"
27-Jun-23,243.24,250.39,240.85,250.21,250.21,"164,968,200"
26-Jun-23,250.07,258.37,240.7,241.05,241.05,"179,990,600"
23-Jun-23,259.29,262.45,252.8,256.6,256.6,"176,584,100"
22-Jun-23,250.77,265,248.25,264.61,264.61,"166,875,900"
21-Jun-23,275.13,276.99,257.78,259.46,259.46,"211,797,100"
20-Jun-23,261.5,274.75,261.12,274.45,274.45,"165,611,200"
16-Jun-23,258.92,263.6,257.21,260.54,260.54,"167,563,700"
15-Jun-23,248.4,258.95,247.29,255.9,255.9,"160,171,200"
14-Jun-23,260.17,261.57,250.5,256.79,256.79,"170,575,500"
13-Jun-23,253.51,259.68,251.34,258.71,258.71,"162,384,300"
12-Jun-23,247.94,250.97,244.59,249.83,249.83,"150,337,900"
9-Jun-23,249.07,252.42,242.02,244.4,244.4,"199,882,300"
8-Jun-23,224.22,235.23,223.01,234.86,234.86,"164,489,700"
7-Jun-23,228,230.83,223.2,224.57,224.57,"185,710,800"
6-Jun-23,216.14,221.91,212.53,221.31,221.31,"146,911,600"
5-Jun-23,217.8,221.29,214.52,217.61,217.61,"151,143,100"
2-Jun-23,210.15,217.25,209.75,213.97,213.97,"164,129,000"
1-Jun-23,202.59,209.8,199.37,207.52,207.52,"148,029,900"
31-May-23,199.78,203.95,195.12,203.93,203.93,"150,711,700"
30-May-23,200.1,204.48,197.53,201.16,201.16,"128,818,700"
26-May-23,184.62,198.6,184.53,193.17,193.17,"162,061,500"
25-May-23,186.54,186.78,180.58,184.47,184.47,"96,870,700"
24-May-23,182.23,184.22,178.22,182.9,182.9,"137,605,100"
